Date,Open,High,Low,Close,Volume,Adj Close
20140415  17:00:00,1500.25,1506.0,1499.5,1504.5,970,1502.675
20140415  18:00:00,1504.25,1508.5,1503.25,1508.5,963,1505.925
20140415  19:00:00,1508.5,1509.75,1505.5,1506.25,599,1508.075
20140415  20:00:00,1506.25,1509.5,1505.75,1509.25,188,1507.9
20140415  21:00:00,1509.25,1510.0,1509.0,1509.75,163,1509.575
20140415  22:00:00,1510.0,1510.75,1509.25,1510.25,339,1509.925
20140415  23:00:00,1510.5,1512.5,1510.0,1511.75,608,1511.225
20140416  00:00:00,1511.75,1514.25,1511.75,1514.0,404,1513.05
20140416  01:00:00,1514.25,1519.0,1514.0,1517.0,1430,1516.35
20140416  02:00:00,1517.25,1519.25,1516.5,1517.5,414,1518.175
20140416  03:00:00,1517.75,1519.0,1517.5,1518.25,385,1518.325
20140416  04:00:00,1518.75,1522.75,1518.0,1522.0,1149,1520.55
20140416  05:00:00,1521.75,1522.0,1517.75,1518.0,950,1519.0
20140416  06:30:00,1518.25,1518.5,1512.25,1513.25,4344,1515.225
20140416  07:00:00,1513.0,1516.25,1507.5,1514.0,7218,1511.95
20140416  08:00:00,1513.75,1519.5,1513.75,1518.0,3311,1516.3
20140416  09:00:00,1517.75,1518.0,1514.0,1516.0,2694,1515.625
20140416  10:00:00,1516.0,1517.25,1513.0,1516.25,3860,1515.25
20140416  11:00:00,1516.25,1520.0,1516.0,1519.5,3316,1518.175
20140416  17:00:00,1518.0,1523.5,1517.75,1522.5,908,1521.025
20140416  18:00:00,1522.25,1529.5,1521.5,1529.25,1342,1525.45
20140416  19:00:00,1529.25,1531.75,1527.25,1531.5,740,1529.95
20140416  20:00:00,1531.5,1531.5,1529.0,1529.5,194,1530.425
20140416  21:00:00,1529.5,1530.0,1528.75,1529.75,124,1529.3
20140416  22:00:00,1529.75,1530.0,1529.25,1529.5,178,1529.5
20140416  23:00:00,1529.25,1529.5,1526.0,1529.25,354,1527.85
20140417  00:00:00,1529.75,1531.75,1528.75,1529.25,294,1530.1
20140417  01:00:00,1529.0,1529.25,1528.75,1528.75,161,1529.0
20140417  02:00:00,1528.75,1529.5,1527.5,1529.25,178,1528.475
20140417  03:00:00,1529.25,1529.75,1527.25,1527.25,232,1528.525
20140417  04:00:00,1527.25,1527.25,1523.5,1525.0,510,1525.1
20140417  05:00:00,1524.75,1526.5,1518.0,1518.5,2371,1522.15
20140417  06:30:00,1519.0,1524.75,1515.0,1515.75,5233,1518.4
20140417  07:00:00,1515.75,1518.0,1511.25,1511.25,4500,1514.05
20140417  08:00:00,1511.5,1515.75,1508.0,1514.5,4082,1511.2
20140417  09:00:00,1514.75,1517.0,1512.0,1513.5,2426,1513.875
20140417  10:00:00,1513.5,1514.25,1504.0,1506.25,4289,1508.075
20140417  11:00:00,1506.0,1516.25,1505.25,1516.25,2866,1511.775
20140420  17:00:00,1515.0,1523.75,1514.25,1522.0,1296,1519.575
20140420  18:00:00,1522.0,1525.0,1520.0,1521.25,495,1522.95
20140420  19:00:00,1521.5,1523.0,1519.75,1520.25,146,1521.175
20140420  20:00:00,1520.5,1521.75,1516.25,1518.25,208,1519.4
20140420  21:00:00,1518.5,1519.75,1514.75,1516.75,160,1516.475
20140420  22:00:00,1516.25,1516.25,1514.5,1514.5,64,1515.7
20140420  23:00:00,1514.25,1514.25,1508.5,1509.75,416,1510.5
20140421  00:00:00,1509.75,1509.75,1508.0,1509.0,101,1508.775
20140421  01:00:00,1508.5,1510.75,1508.0,1508.75,1171,1509.0
20140421  02:00:00,1508.5,1509.0,1508.25,1508.75,124,1508.775
20140421  03:00:00,1508.5,1509.0,1508.0,1508.0,67,1508.3
20140421  04:00:00,1508.0,1508.25,1504.5,1505.25,411,1506.15
20140421  05:00:00,1505.0,1506.0,1501.5,1504.5,579,1503.625
20140421  06:30:00,1507.0,1507.0,1490.75,1495.25,5542,1496.125
20140421  07:00:00,1495.25,1497.75,1487.0,1493.25,6188,1492.525
20140421  08:00:00,1493.25,1493.5,1486.0,1488.75,3084,1488.65
20140421  09:00:00,1488.5,1492.0,1488.0,1491.25,1165,1490.15
20140421  10:00:00,1491.25,1494.75,1488.5,1494.5,1532,1491.75
20140421  11:00:00,1494.75,1500.0,1494.5,1499.25,2017,1497.425
20140421  17:00:00,1502.0,1505.25,1494.25,1496.5,800,1499.975
20140421  18:00:00,1496.5,1503.0,1496.5,1502.75,359,1499.75
20140421  19:00:00,1502.75,1503.75,1500.5,1503.25,348,1502.5
20140421  20:00:00,1503.0,1503.75,1502.5,1502.75,165,1503.175
20140421  21:00:00,1503.25,1504.5,1502.75,1504.0,126,1503.95
20140421  22:00:00,1504.0,1504.75,1503.5,1504.0,67,1504.4
20140421  23:00:00,1504.5,1507.75,1504.25,1506.75,256,1506.15
20140422  00:00:00,1506.5,1508.0,1506.25,1507.0,111,1507.025
20140422  01:00:00,1507.0,1507.0,1503.25,1504.0,551,1504.3
20140422  02:00:00,1504.0,1504.75,1503.0,1504.25,995,1503.425
20140422  03:00:00,1504.25,1507.0,1503.75,1507.0,379,1505.1
20140422  04:00:00,1507.0,1507.25,1505.0,1505.5,236,1506.6
20140422  05:00:00,1505.75,1506.5,1504.25,1505.0,141,1505.35
20140422  06:30:00,1505.0,1508.75,1503.25,1503.25,2272,1506.05
20140422  07:00:00,1503.25,1504.75,1485.5,1486.0,6897,1494.9
20140422  08:00:00,1485.75,1488.0,1479.75,1483.0,6743,1484.375
20140422  09:00:00,1482.75,1487.5,1482.0,1482.5,2426,1484.6
20140422  10:00:00,1482.5,1484.75,1477.25,1478.5,3945,1479.825
20140422  11:00:00,1478.25,1482.0,1478.0,1481.25,2419,1479.975
20140422  17:00:00,1480.0,1483.25,1480.0,1481.75,393,1481.4
20140422  18:00:00,1482.0,1485.5,1482.0,1483.75,496,1484.375
20140422  19:00:00,1483.25,1483.25,1477.5,1477.75,319,1479.5
20140422  20:00:00,1477.75,1478.75,1474.0,1474.25,540,1475.7
20140422  21:00:00,1474.0,1474.5,1473.0,1473.5,152,1473.7
20140422  22:00:00,1473.75,1474.0,1471.0,1471.75,151,1472.675
20140422  23:00:00,1472.0,1472.75,1470.5,1472.75,200,1471.6
20140423  00:00:00,1472.0,1472.0,1470.0,1470.0,216,1470.625
20140423  01:00:00,1469.75,1470.75,1469.0,1469.75,214,1470.05
20140423  02:00:00,1470.0,1470.5,1468.75,1470.5,263,1469.45
20140423  03:00:00,1470.25,1472.0,1469.5,1471.5,932,1470.35
20140423  04:00:00,1471.0,1473.75,1470.75,1472.75,437,1472.425
