Date,Open,High,Low,Close,Volume,Adj Close
20150720  17:00:00,1011.0,1012.0,1010.25,1012.0,129,1011.05
20150720  17:01:00,1011.75,1012.0,1011.75,1011.75,11,1011.775
20150720  17:02:00,1012.25,1013.25,1012.25,1012.25,27,1012.85
20150720  17:03:00,1012.25,1012.5,1012.25,1012.5,22,1012.4
20150720  17:04:00,1012.75,1012.75,1012.5,1012.5,13,1012.625
20150720  17:05:00,1012.25,1012.25,1011.5,1011.5,8,1012.15
20150720  17:06:00,1011.25,1011.5,1011.25,1011.5,5,1011.4
20150720  17:07:00,1011.5,1012.0,1011.5,1012.0,12,1011.75
20150720  17:08:00,1012.5,1012.5,1012.5,1012.5,2,1012.5
20150720  17:09:00,1012.25,1012.25,1012.25,1012.25,1,1012.25
20150720  17:10:00,1012.5,1013.0,1012.5,1013.0,7,1012.775
20150720  17:11:00,1013.25,1013.25,1013.25,1013.25,2,1013.25
20150720  17:12:00,1012.75,1013.25,1012.75,1012.75,6,1013.0
20150720  17:13:00,1013.0,1013.25,1013.0,1013.25,3,1013.175
20150720  17:14:00,1013.25,1013.25,1013.25,1013.25,0,1013.25
20150720  17:15:00,1012.75,1013.0,1012.75,1013.0,9,1012.975
20150720  17:16:00,1012.25,1012.25,1012.25,1012.25,2,1012.25
20150720  17:17:00,1011.75,1012.0,1011.75,1012.0,2,1011.875
20150720  17:18:00,1012.25,1012.5,1012.25,1012.5,14,1012.4
20150720  17:19:00,1012.0,1012.0,1012.0,1012.0,2,1012.0
20150720  17:20:00,1012.0,1012.0,1012.0,1012.0,0,1012.0
20150720  17:21:00,1012.0,1012.0,1012.0,1012.0,0,1012.0
20150720  17:22:00,1012.0,1012.0,1012.0,1012.0,0,1012.0
20150720  17:23:00,1011.5,1011.5,1011.5,1011.5,3,1011.5
20150720  17:24:00,1011.5,1011.5,1011.5,1011.5,3,1011.5
20150720  17:25:00,1011.75,1011.75,1011.5,1011.5,7,1011.675
20150720  17:26:00,1011.25,1011.5,1011.25,1011.5,7,1011.35
20150720  17:27:00,1011.75,1011.75,1011.75,1011.75,1,1011.75
